Month,L,M,S,SD,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1,49.8842,0.03795,1.8931,44.2,46.1,48,49.9,51.8,53.7,55.6
1,1,54.7244,0.03557,1.9465,48.9,50.8,52.8,54.7,56.7,58.6,60.6
2,1,58.4249,0.03424,2.0005,52.4,54.4,56.4,58.4,60.4,62.4,64.4
3,1,61.4292,0.03328,2.0444,55.3,57.3,59.4,61.4,63.5,65.5,67.6
4,1,63.886,0.03257,2.0808,57.6,59.7,61.8,63.9,66,68,70.1
5,1,65.9026,0.03204,2.1115,59.6,61.7,63.8,65.9,68,70.1,72.2
6,1,67.6236,0.03165,2.1403,61.2,63.3,65.5,67.6,69.8,71.9,74
7,1,69.1645,0.03139,2.1711,62.7,64.8,67,69.2,71.3,73.5,75.7
8,1,70.5994,0.03124,2.2055,64,66.2,68.4,70.6,72.8,75,77.2
9,1,71.9687,0.03117,2.2433,65.2,67.5,69.7,72,74.2,76.5,78.7
10,1,73.2812,0.03118,2.2849,66.4,68.7,71,73.3,75.6,77.9,80.1
11,1,74.5388,0.03125,2.3293,67.6,69.9,72.2,74.5,76.9,79.2,81.5
12,1,75.7488,0.03137,2.3762,68.6,71,73.4,75.7,78.1,80.5,82.9
13,1,76.9186,0.03154,2.426,69.6,72.1,74.5,76.9,79.3,81.8,84.2
14,1,78.0497,0.03174,2.4773,70.6,73.1,75.6,78,80.5,83,85.5
15,1,79.1458,0.03197,2.5303,71.6,74.1,76.6,79.1,81.7,84.2,86.7
16,1,80.2113,0.03222,2.5844,72.5,75,77.6,80.2,82.8,85.4,88
17,1,81.2487,0.0325,2.6406,73.3,76,78.6,81.2,83.9,86.5,89.2
18,1,82.2587,0.03279,2.6973,74.2,76.9,79.6,82.3,85,87.7,90.4
19,1,83.2418,0.0331,2.7553,75,77.7,80.5,83.2,86,88.8,91.5
20,1,84.1996,0.03342,2.814,75.8,78.6,81.4,84.2,87,89.8,92.6
21,1,85.1348,0.03376,2.8742,76.5,79.4,82.3,85.1,88,90.9,93.8
22,1,86.0477,0.0341,2.9342,77.2,80.2,83.1,86,89,91.9,94.9
23,1,86.941,0.03445,2.9951,78,81,83.9,86.9,89.9,92.9,95.9
24,1,87.8161,0.03479,3.0551,78.7,81.7,84.8,87.8,90.9,93.9,97
25,1,87.972,0.03542,3.116,78.6,81.7,84.9,88,91.1,94.2,97.3
26,1,88.8065,0.03576,3.1757,79.3,82.5,85.6,88.8,92,95.2,98.3
27,1,89.6197,0.0361,3.2353,79.9,83.1,86.4,89.6,92.9,96.1,99.3
28,1,90.412,0.03642,3.2928,80.5,83.8,87.1,90.4,93.7,97,100.3
29,1,91.1828,0.03674,3.3501,81.1,84.5,87.8,91.2,94.5,97.9,101.2
30,1,91.9327,0.03704,3.4052,81.7,85.1,88.5,91.9,95.3,98.7,102.1
31,1,92.6631,0.03733,3.4591,82.3,85.7,89.2,92.7,96.1,99.6,103
32,1,93.3753,0.03761,3.5118,82.8,86.4,89.9,93.4,96.9,100.4,103.9
33,1,94.0711,0.03787,3.5625,83.4,86.9,90.5,94.1,97.6,101.2,104.8
34,1,94.7532,0.03812,3.612,83.9,87.5,91.1,94.8,98.4,102,105.6
35,1,95.4236,0.03836,3.6604,84.4,88.1,91.8,95.4,99.1,102.7,106.4
36,1,96.0835,0.03858,3.7069,85,88.7,92.4,96.1,99.8,103.5,107.2
37,1,96.7337,0.03879,3.7523,85.5,89.2,93,96.7,100.5,104.2,108
38,1,97.3749,0.039,3.7976,86,89.8,93.6,97.4,101.2,105,108.8
39,1,98.0073,0.03919,3.8409,86.5,90.3,94.2,98,101.8,105.7,109.5
40,1,98.631,0.03937,3.8831,87,90.9,94.7,98.6,102.5,106.4,110.3
41,1,99.2459,0.03954,3.9242,87.5,91.4,95.3,99.2,103.2,107.1,111
42,1,99.8515,0.03971,3.9651,88,91.9,95.9,99.9,103.8,107.8,111.7
43,1,100.4485,0.03986,4.0039,88.4,92.4,96.4,100.4,104.5,108.5,112.5
44,1,101.0374,0.04002,4.0435,88.9,93,97,101,105.1,109.1,113.2
45,1,101.6186,0.04016,4.081,89.4,93.5,97.5,101.6,105.7,109.8,113.9
46,1,102.1933,0.04031,4.1194,89.8,94,98.1,102.2,106.3,110.4,114.6
47,1,102.7625,0.04045,4.1567,90.3,94.4,98.6,102.8,106.9,111.1,115.2
48,1,103.3273,0.04059,4.1941,90.7,94.9,99.1,103.3,107.5,111.7,115.9
49,1,103.8886,0.04073,4.2314,91.2,95.4,99.7,103.9,108.1,112.4,116.6
50,1,104.4473,0.04086,4.2677,91.6,95.9,100.2,104.4,108.7,113,117.3
51,1,105.0041,0.041,4.3052,92.1,96.4,100.7,105,109.3,113.6,117.9
52,1,105.5596,0.04113,4.3417,92.5,96.9,101.2,105.6,109.9,114.2,118.6
53,1,106.1138,0.04126,4.3783,93,97.4,101.7,106.1,110.5,114.9,119.2
54,1,106.6668,0.04139,4.4149,93.4,97.8,102.3,106.7,111.1,115.5,119.9
55,1,107.2188,0.04152,4.4517,93.9,98.3,102.8,107.2,111.7,116.1,120.6
56,1,107.7697,0.04165,4.4886,94.3,98.8,103.3,107.8,112.3,116.7,121.2
57,1,108.3198,0.04177,4.5245,94.7,99.3,103.8,108.3,112.8,117.4,121.9
58,1,108.8689,0.0419,4.5616,95.2,99.7,104.3,108.9,113.4,118,122.6
59,1,109.417,0.04202,4.5977,95.6,100.2,104.8,109.4,114,118.6,123.2
60,1,109.9638,0.04214,4.6339,96.1,100.7,105.3,110,114.6,119.2,123.9
61,1,110.2647,0.04164,4.5914,96.49,101.082,105.673,110.265,114.856,119.448,124.039
62,1,110.8006,0.04172,4.6226,96.933,101.555,106.178,110.801,115.423,120.046,124.668
63,1,111.3338,0.0418,4.6538,97.373,102.026,106.68,111.334,115.988,120.641,125.295
64,1,111.8636,0.04187,4.6837,97.812,102.496,107.18,111.864,116.547,121.231,125.915
65,1,112.3895,0.04195,4.7147,98.245,102.96,107.675,112.39,117.104,121.819,126.534
66,1,112.911,0.04203,4.7456,98.674,103.42,108.165,112.911,117.657,122.402,127.148
67,1,113.428,0.04211,4.7765,99.099,103.875,108.652,113.428,118.204,122.981,127.757
68,1,113.941,0.04218,4.806,99.523,104.329,109.135,113.941,118.747,123.553,128.359
69,1,114.45,0.04226,4.8367,99.94,104.777,109.613,114.45,119.287,124.123,128.96
70,1,114.9547,0.04234,4.8672,100.353,105.22,110.088,114.955,119.822,124.689,129.556
71,1,115.4549,0.04241,4.8964,100.766,105.662,110.558,115.455,120.351,125.248,130.144
72,1,115.9509,0.04249,4.9268,101.171,106.097,111.024,115.951,120.878,125.804,130.731
73,1,116.4432,0.04257,4.957,101.572,106.529,111.486,116.443,121.4,126.357,131.314
74,1,116.9325,0.04264,4.986,101.974,106.96,111.946,116.932,121.919,126.905,131.891
75,1,117.4196,0.04272,5.0162,102.371,107.387,112.403,117.42,122.436,127.452,132.468
76,1,117.9046,0.0428,5.0463,102.766,107.812,112.858,117.905,122.951,127.997,133.044
77,1,118.388,0.04287,5.0753,103.162,108.237,113.313,118.388,123.463,128.539,133.614
78,1,118.87,0.04295,5.1055,103.554,108.659,113.765,118.87,123.975,129.081,134.186
79,1,119.3508,0.04303,5.1357,103.944,109.079,114.215,119.351,124.486,129.622,134.758
80,1,119.8303,0.04311,5.1659,104.333,109.499,114.664,119.83,124.996,130.162,135.328
81,1,120.3085,0.04318,5.1949,104.724,109.919,115.114,120.308,125.503,130.698,135.893
82,1,120.7853,0.04326,5.2252,105.11,110.335,115.56,120.785,126.01,131.236,136.461
83,1,121.2604,0.04334,5.2554,105.494,110.75,116.005,121.26,126.516,131.771,137.027
84,1,121.7338,0.04342,5.2857,105.877,111.162,116.448,121.734,127.019,132.305,137.591
85,1,122.2053,0.0435,5.3159,106.258,111.573,116.889,122.205,127.521,132.837,138.153
86,1,122.675,0.04358,5.3462,106.636,111.983,117.329,122.675,128.021,133.367,138.714
87,1,123.1429,0.04366,5.3764,107.014,112.39,117.766,123.143,128.519,133.896,139.272
88,1,123.6092,0.04374,5.4067,107.389,112.796,118.203,123.609,129.016,134.423,139.829
89,1,124.0736,0.04382,5.4369,107.763,113.2,118.637,124.074,129.511,134.947,140.384
90,1,124.5361,0.0439,5.4671,108.135,113.602,119.069,124.536,130.003,135.47,140.938
91,1,124.9964,0.04398,5.4973,108.504,114.002,119.499,124.996,130.494,135.991,141.488
92,1,125.4545,0.04406,5.5275,108.872,114.399,119.927,125.454,130.982,136.51,142.037
