Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,0.3487,3.3464,0.14602,2.1,2.5,2.9,3.3,3.9,4.4,5
1,0.2297,4.4709,0.13395,2.9,3.4,3.9,4.5,5.1,5.8,6.6
2,0.197,5.5675,0.12385,3.8,4.3,4.9,5.6,6.3,7.1,8
3,0.1738,6.3762,0.11727,4.4,5,5.7,6.4,7.2,8,9
4,0.1553,7.0023,0.11316,4.9,5.6,6.2,7,7.8,8.7,9.7
5,0.1395,7.5105,0.1108,5.3,6,6.7,7.5,8.4,9.3,10.4
6,0.1257,7.934,0.10958,5.7,6.4,7.1,7.9,8.8,9.8,10.9
7,0.1134,8.297,0.10902,5.9,6.7,7.4,8.3,9.2,10.3,11.4
8,0.1021,8.6151,0.10882,6.2,6.9,7.7,8.6,9.6,10.7,11.9
9,0.0917,8.9014,0.10881,6.4,7.1,8,8.9,9.9,11,12.3
10,0.082,9.1649,0.10891,6.6,7.4,8.2,9.2,10.2,11.4,12.7
11,0.073,9.4122,0.10906,6.8,7.6,8.4,9.4,10.5,11.7,13
12,0.0644,9.6479,0.10925,6.9,7.7,8.6,9.6,10.8,12,13.3
13,0.0563,9.8749,0.10949,7.1,7.9,8.8,9.9,11,12.3,13.7
14,0.0487,10.0953,0.10976,7.2,8.1,9,10.1,11.3,12.6,14
15,0.0413,10.3108,0.11007,7.4,8.3,9.2,10.3,11.5,12.8,14.3
16,0.0343,10.5228,0.11041,7.5,8.4,9.4,10.5,11.7,13.1,14.6
17,0.0275,10.7319,0.11079,7.7,8.6,9.6,10.7,12,13.4,14.9
18,0.0211,10.9385,0.11119,7.8,8.8,9.8,10.9,12.2,13.7,15.3
19,0.0148,11.143,0.11164,8,8.9,10,11.1,12.5,13.9,15.6
20,0.0087,11.3462,0.11211,8.1,9.1,10.1,11.3,12.7,14.2,15.9
21,0.0029,11.5486,0.11261,8.2,9.2,10.3,11.5,12.9,14.5,16.2
22,-0.0028,11.7504,0.11314,8.4,9.4,10.5,11.8,13.2,14.7,16.5
23,-0.0083,11.9514,0.11369,8.5,9.5,10.7,12,13.4,15,16.8
24,-0.0137,12.1515,0.11426,8.6,9.7,10.8,12.2,13.6,15.3,17.1
25,-0.0189,12.3502,0.11485,8.8,9.8,11,12.4,13.9,15.5,17.5
26,-0.024,12.5466,0.11544,8.9,10,11.2,12.5,14.1,15.8,17.8
27,-0.0289,12.7401,0.11604,9,10.1,11.3,12.7,14.3,16.1,18.1
28,-0.0337,12.9303,0.11664,9.1,10.2,11.5,12.9,14.5,16.3,18.4
29,-0.0385,13.1169,0.11723,9.2,10.4,11.7,13.1,14.8,16.6,18.7
30,-0.0431,13.3,0.11781,9.4,10.5,11.8,13.3,15,16.9,19
31,-0.0476,13.4798,0.11839,9.5,10.7,12,13.5,15.2,17.1,19.3
32,-0.052,13.6567,0.11896,9.6,10.8,12.1,13.7,15.4,17.4,19.6
33,-0.0564,13.8309,0.11953,9.7,10.9,12.3,13.8,15.6,17.6,19.9
34,-0.0606,14.0031,0.12008,9.8,11,12.4,14,15.8,17.8,20.2
35,-0.0648,14.1736,0.12062,9.9,11.2,12.6,14.2,16,18.1,20.4
36,-0.0689,14.3429,0.12116,10,11.3,12.7,14.3,16.2,18.3,20.7
37,-0.0729,14.5113,0.12168,10.1,11.4,12.9,14.5,16.4,18.6,21
38,-0.0769,14.6791,0.1222,10.2,11.5,13,14.7,16.6,18.8,21.3
39,-0.0808,14.8466,0.12271,10.3,11.6,13.1,14.8,16.8,19,21.6
40,-0.0846,15.014,0.12322,10.4,11.8,13.3,15,17,19.3,21.9
41,-0.0883,15.1813,0.12373,10.5,11.9,13.4,15.2,17.2,19.5,22.1
42,-0.092,15.3486,0.12425,10.6,12,13.6,15.3,17.4,19.7,22.4
43,-0.0957,15.5158,0.12478,10.7,12.1,13.7,15.5,17.6,20,22.7
44,-0.0993,15.6828,0.12531,10.8,12.2,13.8,15.7,17.8,20.2,23
45,-0.1028,15.8497,0.12586,10.9,12.4,14,15.8,18,20.5,23.3
46,-0.1063,16.0163,0.12643,11,12.5,14.1,16,18.2,20.7,23.6
47,-0.1097,16.1827,0.127,11.1,12.6,14.3,16.2,18.4,20.9,23.9
48,-0.1131,16.3489,0.12759,11.2,12.7,14.4,16.3,18.6,21.2,24.2
49,-0.1165,16.515,0.12819,11.3,12.8,14.5,16.5,18.8,21.4,24.5
50,-0.1198,16.6811,0.1288,11.4,12.9,14.7,16.7,19,21.7,24.8
51,-0.123,16.8471,0.12943,11.5,13.1,14.8,16.8,19.2,21.9,25.1
52,-0.1262,17.0132,0.13005,11.6,13.2,15,17,19.4,22.2,25.4
53,-0.1294,17.1792,0.13069,11.7,13.3,15.1,17.2,19.6,22.4,25.7
