Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,0.3809,3.2322,0.14171,2,2.4,2.8,3.2,3.7,4.2,4.8
1,0.1714,4.1873,0.13724,2.7,3.2,3.6,4.2,4.8,5.5,6.2
2,0.0962,5.1282,0.13,3.4,3.9,4.5,5.1,5.8,6.6,7.5
3,0.0402,5.8458,0.12619,4,4.5,5.2,5.8,6.6,7.5,8.5
4,-0.005,6.4237,0.12402,4.4,5,5.7,6.4,7.3,8.2,9.3
5,-0.043,6.8985,0.12274,4.8,5.4,6.1,6.9,7.8,8.8,10
6,-0.0756,7.297,0.12204,5.1,5.7,6.5,7.3,8.2,9.3,10.6
7,-0.1039,7.6422,0.12178,5.3,6,6.8,7.6,8.6,9.8,11.1
8,-0.1288,7.9487,0.12181,5.6,6.3,7,7.9,9,10.2,11.6
9,-0.1507,8.2254,0.12199,5.8,6.5,7.3,8.2,9.3,10.5,12
10,-0.17,8.48,0.12223,5.9,6.7,7.5,8.5,9.6,10.9,12.4
11,-0.1872,8.7192,0.12247,6.1,6.9,7.7,8.7,9.9,11.2,12.8
12,-0.2024,8.9481,0.12268,6.3,7,7.9,8.9,10.1,11.5,13.1
13,-0.2158,9.1699,0.12283,6.4,7.2,8.1,9.2,10.4,11.8,13.5
14,-0.2278,9.387,0.12294,6.6,7.4,8.3,9.4,10.6,12.1,13.8
15,-0.2384,9.6008,0.12299,6.7,7.6,8.5,9.6,10.9,12.4,14.1
16,-0.2478,9.8124,0.12303,6.9,7.7,8.7,9.8,11.1,12.6,14.5
17,-0.2562,10.0226,0.12306,7,7.9,8.9,10,11.4,12.9,14.8
18,-0.2637,10.2315,0.12309,7.2,8.1,9.1,10.2,11.6,13.2,15.1
19,-0.2703,10.4393,0.12315,7.3,8.2,9.2,10.4,11.8,13.5,15.4
20,-0.2762,10.6464,0.12323,7.5,8.4,9.4,10.6,12.1,13.7,15.7
21,-0.2815,10.8534,0.12335,7.6,8.6,9.6,10.9,12.3,14,16
22,-0.2862,11.0608,0.1235,7.8,8.7,9.8,11.1,12.5,14.3,16.4
23,-0.2903,11.2688,0.12369,7.9,8.9,10,11.3,12.8,14.6,16.7
24,-0.2941,11.4775,0.1239,8.1,9,10.2,11.5,13,14.8,17
25,-0.2975,11.6864,0.12414,8.2,9.2,10.3,11.7,13.3,15.1,17.3
26,-0.3005,11.8947,0.12441,8.4,9.4,10.5,11.9,13.5,15.4,17.7
27,-0.3032,12.1015,0.12472,8.5,9.5,10.7,12.1,13.7,15.7,18
28,-0.3057,12.3059,0.12506,8.6,9.7,10.9,12.3,14,16,18.3
29,-0.308,12.5073,0.12545,8.8,9.8,11.1,12.5,14.2,16.2,18.7
30,-0.3101,12.7055,0.12587,8.9,10,11.2,12.7,14.4,16.5,19
31,-0.312,12.9006,0.12633,9,10.1,11.4,12.9,14.7,16.8,19.3
32,-0.3138,13.093,0.12683,9.1,10.3,11.6,13.1,14.9,17.1,19.6
